,track name,artist,popularity,track id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,valence,mode,uri
27,17,Youth Lagoon,56,5UVBumEwdUnzvqxrXOYLFA,0.263,0.129,74.517,0.0516,0.835,0.654,0.348,0,236000,-8.531,0.12,1,spotify:track:5UVBumEwdUnzvqxrXOYLFA
28,Step Out,Various Artists,52,6ujI5tE2O7PIBtG7A7ZdQN,0.589,0.155,144.809,0.0461,0.0159,0.409,0.441,8,241573,-10.393,0.159,1,spotify:track:6ujI5tE2O7PIBtG7A7ZdQN
29,Interdiction,Black Marble,30,3OatinougRCDZIIZw9Oatl,0.494,0.673,117.076,0.0328,0.934,0.81,0.494,1,71192,-11.163,0.465,1,spotify:track:3OatinougRCDZIIZw9Oatl
30,Woods,Black Marble,37,1vpp843BMb9ZHdhlln8WUt,0.765,0.124,149.004,0.0327,0.064,0.949,0.637,1,184000,-8.958,0.837,1,spotify:track:1vpp843BMb9ZHdhlln8WUt
31,A Million Billion Stars,Black Marble,36,3RtVYtPxQnjow4EcFuotCJ,0.389,0.116,100.04,0.0299,0.756,0.888,0.47,0,198896,-12.657,0.0561,1,spotify:track:3RtVYtPxQnjow4EcFuotCJ
32,Missing Sibling,Black Marble,32,14xVnufNuEIAjoO5GKEZj6,0.389,0.0964,138.863,0.0443,0.974,0.908,0.38,2,103185,-13.408,0.272,1,spotify:track:14xVnufNuEIAjoO5GKEZj6
33,Frisk,Black Marble,40,4CXw0LVJVBGi2nu5YzagsY,0.808,0.138,170.061,0.0316,0.571,0.971,0.525,5,210588,-9.829,0.866,1,spotify:track:4CXw0LVJVBGi2nu5YzagsY
34,Golden Heart,Black Marble,36,107PaYwctr2MmUQbraYG1G,0.777,0.151,93.972,0.0324,0.76,0.712,0.53,9,202318,-10.186,0.349,0,spotify:track:107PaYwctr2MmUQbraYG1G
35,Self Guided Tours,Black Marble,33,7Cp9yS51UqsydBd51jKsYO,0.814,0.133,145.965,0.0499,0.821,0.951,0.592,0,232500,-10.074,0.623,0,spotify:track:7Cp9yS51UqsydBd51jKsYO
36,Portland U,Black Marble,32,2GtHtYkvDJ8vbNa04ONE1J,0.695,0.221,174.999,0.0369,0.244,0.925,0.573,10,217338,-10.855,0.467,0,spotify:track:2GtHtYkvDJ8vbNa04ONE1J
37,Collene,Black Marble,34,4KvlbTtxanRRV9pn8lg4Fi,0.884,0.129,168.009,0.0366,0.00597,0.858,0.465,11,281838,-8.893,0.734,0,spotify:track:4KvlbTtxanRRV9pn8lg4Fi
38,Iron Lung,Black Marble,45,1uy9Y3i3W7mjs9doJhymsI,0.752,0.0865,87.496,0.0405,0.68,0.792,0.567,4,237838,-9.928,0.508,1,spotify:track:1uy9Y3i3W7mjs9doJhymsI
39,Light Up The Sky,Bibio,39,70ezCCwti8PBRFX0Z7FztA,0.593,0.107,116.81,0.04,0.244,0.000232,0.439,3,218293,-6.188,0.181,1,spotify:track:70ezCCwti8PBRFX0Z7FztA
40,Half a Heart,Silver Torches,9,2VykaubQkVc9mWAEeM1G8S,0.414,0.0911,143.927,0.0283,0.0654,5.71e-05,0.588,6,186267,-9.758,0.66,1,spotify:track:2VykaubQkVc9mWAEeM1G8S
41,Keep the Car Running,Silver Torches,18,2Sbzu0ZZvcluDacDRzsEAK,0.832,0.265,149.008,0.0402,0.484,0.546,0.519,4,176093,-9.367,0.386,1,spotify:track:2Sbzu0ZZvcluDacDRzsEAK
42,Saving Grace (Acoustic),The Maine,36,63nptNAO0WJHGTIC8Uh9j4,0.207,0.213,79.942,0.0289,0.771,0.0,0.674,7,188750,-11.892,0.549,1,spotify:track:63nptNAO0WJHGTIC8Uh9j4
43,2 / 14,The Band CAMINO,58,5sCvipEhpAhVhu3K6kzm1P,0.708,0.294,97.005,0.0539,0.377,0.0,0.607,9,163690,-7.428,0.551,1,spotify:track:5sCvipEhpAhVhu3K6kzm1P
44,Pretender,Black Marble,39,2JfJoKo5fgfmxbThO4KIo1,0.664,0.157,180.049,0.0649,0.139,0.914,0.596,7,202967,-9.445,0.483,0,spotify:track:2JfJoKo5fgfmxbThO4KIo1
45,It's Conditional,Black Marble,40,021XLftRPhNwRyvig6OLOl,0.68,0.107,128.064,0.0352,0.655,0.868,0.697,6,267500,-8.959,0.736,1,spotify:track:021XLftRPhNwRyvig6OLOl
46,Ends of the Earth,Lord Huron,45,7BjrIfovz8y9dTtazrh1iY,0.584,0.254,120.968,0.0301,0.274,0.0228,0.555,4,284147,-8.667,0.41,1,spotify:track:7BjrIfovz8y9dTtazrh1iY
47,Time To Run,Lord Huron,35,2w9w1QlM8H4y0kLrZHdfpD,0.86,0.114,109.028,0.0366,0.496,0.536,0.532,10,323973,-7.943,0.314,1,spotify:track:2w9w1QlM8H4y0kLrZHdfpD
48,Lonesome Dreams,Lord Huron,33,3mmc7uZXUKR5DsDGksAzA1,0.786,0.273,140.322,0.0286,0.86,0.0214,0.544,5,255573,-7.441,0.505,1,spotify:track:3mmc7uZXUKR5DsDGksAzA1
49,The Ghost On The Shore,Lord Huron,34,7sh2lOTbbhfkAPx8e6xrB6,0.314,0.113,88.996,0.0319,0.497,0.00705,0.32,0,277240,-10.666,0.0507,1,spotify:track:7sh2lOTbbhfkAPx8e6xrB6
50,She Lit A Fire,Lord Huron,37,2oCIHudP9wgI3OshvOtNfG,0.74,0.0999,84.956,0.029,0.257,0.000105,0.484,0,270667,-6.671,0.393,1,spotify:track:2oCIHudP9wgI3OshvOtNfG
51,I Will Be Back One Day,Lord Huron,32,0NpybMhPBb9QhIoLLKGQPF,0.731,0.265,123.988,0.0351,0.401,8.18e-05,0.581,9,205907,-6.213,0.534,1,spotify:track:0NpybMhPBb9QhIoLLKGQPF
52,The Man Who Lives Forever,Lord Huron,30,6ShhBNFDe2WjCQYRW0uend,0.726,0.103,125.004,0.0277,0.468,0.00477,0.629,4,318813,-8.721,0.67,1,spotify:track:6ShhBNFDe2WjCQYRW0uend
53,Lullaby,Lord Huron,31,0zIjcFMa8XEIaXxTZbjIue,0.281,0.101,133.99,0.0308,0.975,0.00556,0.486,9,240080,-11.315,0.094,1,spotify:track:0zIjcFMa8XEIaXxTZbjIue
54,Brother,Lord Huron,30,5rISzN8WKuxo4WODL2rdLS,0.659,0.429,113.073,0.033,0.564,0.00124,0.565,7,240000,-7.867,0.594,1,spotify:track:5rISzN8WKuxo4WODL2rdLS
55,In The Wind,Lord Huron,31,0HNOnAD8CBnZAjXZIoHTKk,0.483,0.0978,120.059,0.0306,0.742,0.0826,0.534,7,325493,-9.68,0.189,1,spotify:track:0HNOnAD8CBnZAjXZIoHTKk
